N,Ah_th,x_0,y_0,x_100,y_100,C_n,C_p,Cap,Rs_ave
0,0,0.000387077187718021,0.895516083429449,0.828563448202801,0.0335108902282481,6.11712079543308,5.87705844625949,5.0743011877378,0.00876960777777777
41,373.756188274842,-0.000192233511579487,0.866865026791757,0.821757713691675,0.0334959927371889,5.73977499254427,5.66112677492575,4.72223465576057,0.00988200333333334
82,740.552453555116,-0.000580587883611261,0.842563755383897,0.816858268422267,0.0334873328145192,5.54801124833694,5.60535425715462,4.5412781951036,0.0100469866666667
123,1094.18084570545,-0.000927117145802403,0.815762946984772,0.820266191417046,0.0334931914127712,5.32647674790635,5.59150731885058,4.38048922307888,0.0104425711111111
164,1433.86969446748,-0.00122793859780135,0.787106269354138,0.823587128283094,0.0334996425541926,5.0646387327292,5.54319745409106,4.18432762635706,0.0113755377777778
205,1757.7387999734,-0.00156641558716042,0.747368158355689,0.830056965689174,0.0335146821207912,4.71717266559146,5.49540096507509,3.93282153352861,0.0120989077777778
246,2063.18883334085,-0.00180515847902629,0.714797312263613,0.833753145296686,0.0335250001738579,4.44768237536993,5.45493758567371,3.72402789177211,0.0132283633333333
287,2346.81340317314,-0.00208749847138212,0.674034180386831,0.835806925847658,0.0335313609850965,4.09713388641629,5.35979785744485,3.44189241797879,0.01429436
328,2605.24256618924,-0.00238539861393672,0.63243920188942,0.831139097975781,0.0335175609329517,3.78809156240124,5.27192022573073,3.16757131261334,0.0153590644444444
