N,Ah_th,x_0,y_0,x_100,y_100,C_n,C_p,Cap,Rs_ave
0,0,0.000378549726557043,0.895144574843473,0.835227853448063,0.0335295192552936,6.10473518352058,5.91509385114818,5.10509415908011,0.00869876666666667
41,394.329256866273,0.000119397185901038,0.883196617183658,0.821425003084292,0.0334953546327315,5.87116609030747,5.67496111357262,4.82747430379088,0.00912195666666665
59,561.560142863654,-0.000213425292900804,0.865663078990905,0.822376081270958,0.0334971993871048,5.6949794659793,5.6294429555819,4.69015081327213,0.00987641666666668
98,915.157906331414,-0.000463510930671318,0.850436734622857,0.819406226462632,0.0334916439241269,5.57689713793108,5.59686231547621,4.57836303997946,0.010677066666667
134,1230.69546675785,-0.000679858293762825,0.8354577782458,0.819551026663968,0.0334919011155437,5.45321525326892,5.57741382845304,4.48010515738194,0.01118932
175,1590.59068161136,-0.000803928739300797,0.825957038127663,0.815373068526154,0.0334849979721502,5.4058491394398,5.56755253779325,4.42061304185933,0.0120343866666667
216,1940.22507857222,-0.00101457553241491,0.808015035042653,0.818947981809905,0.0334908388581453,5.24324280687643,5.55084373331696,4.30947158845134,0.0124816366666667
257,2274.42518125967,-0.0012414625858217,0.785677433185857,0.821230888440112,0.0334949858882204,5.05592922193745,5.52839541620167,4.16816692077489,0.0135765888888889
298,2600.55104628009,-0.0015076503156789,0.754859108174935,0.824525814461125,0.0335016116037492,4.77308393561562,5.4657047022426,3.95327863750133,0.01440809
339,2910.69600747571,-0.00169022330073232,0.730855428145121,0.83023531855196,0.033515148843036,4.56752670411793,5.44905011374494,3.81174955333776,0.0164246811111111
380,3201.45298815459,-0.00196803714837646,0.691338176550451,0.823683868340663,0.0334998423931761,4.27705451176514,5.36812469593039,3.54364290630496,0.0188522055555555
