Time,x_0,y_0,x_100,y_100,C_n,C_p,Cap,Rs_ave
0,-0.000409829,0.853878109,0.795247087,0.033463157,5.584215594,5.415698172,4.601446301,0.0102
25.27056716,-0.000806564,0.825747255,0.782348544,0.033455576,5.532257329,5.468460293,4.326574267,0.0127
93.06850962,-0.001349972,0.773738597,0.725286768,0.033444497,5.469868962,5.368957764,4.125180649,0.0139
130.0293551,-0.001644069,0.737119243,0.689036222,0.033443332,5.404239192,5.304432677,3.861954716,0.0157
168.1198502,-0.001916583,0.69879711,0.645128133,0.033442992,5.446420415,5.296544281,3.625196865,0.0162
204.0584731,-0.002140384,0.666439203,0.604770469,0.033442872,5.500687684,5.274006957,3.428342556,0.0181
245.0303025,-0.002356832,0.636277855,0.56569958,0.033438751,5.555610952,5.235062567,3.234790315,0.0192
