Time,x_0,y_0,x_100,y_100,C_n,C_p,Cap,Rs_ave
0,0.000536056,0.901808414,0.835174112,0.033529347,6.099937454,5.863598621,5,0.0095
77.1115625,-0.000220225,0.865274717,0.835264523,0.033529635,5.629191721,5.654501514,4.751851805,0.0105
111.7826389,-0.000323313,0.859218745,0.826289873,0.033505499,5.63974294,5.645889664,4.699899542,0.0109
155.0470602,-0.000392194,0.854986969,0.818324371,0.033489765,5.663383642,5.644213974,4.680167354,0.0111
188.6534606,-0.000479917,0.849364558,0.811472018,0.033479433,5.666292598,5.638976738,4.642659211,0.0115
228.7515509,-0.000549182,0.84472748,0.808581133,0.033475789,5.640425857,5.625676469,4.597399598,0
