N,Q,V
0,0,2.8867905
0,0.000694495461773343,2.912509
0,0.00138899034351773,2.929208
0,0.00208349228442722,2.9417717
0,0.00277799676405165,2.9517756
0,0.00347250022601657,2.9603615
0,0.00416701961180793,2.9680021
0,0.0048615326936086,2.9750521
0,0.0055560351489173,2.9813142
0,0.00625054322956509,2.9872613
0,0.00694504500621372,2.9929328
0,0.00763953939542982,2.9983284
0,0.00833404587796529,3.0034091
0,0.00902854751213074,3.0084109
0,0.00972307112265692,3.0132554
0,0.0104175876846568,3.0179815
0,0.0111120946924506,3.0224321
0,0.0118066015361701,3.0268037
0,0.0125011142240397,3.031136
0,0.0131956176203495,3.0352714
0,0.0138901138263279,3.0393281
0,0.0145846203746033,3.0433455
0,0.0152791239786275,3.0472445
0,0.0159736282613797,3.0509467
0,0.0166681266452705,3.0548458
0,0.0173626226981693,3.058548
0,0.0180571239603594,3.0621715
0,0.0187516324345144,3.065716
0,0.0194461355355326,3.0691819
0,0.0201406454216512,3.0726085
0,0.0208351545089806,3.0759561
0,0.021529652334866,3.0791464
0,0.0222241575587887,3.082494
0,0.0229186553299628,3.0856447
0,0.0236131504412333,3.0887957
0,0.0243076388904911,3.0919857
0,0.0250021328538174,3.0950184
0,0.0256966226027764,3.0980117
0,0.0263911205161964,3.1010048
0,0.0270856100136481,3.1038799
0,0.0277800931959534,3.1067944
0,0.0284745776479509,3.1095908
0,0.0291690667074161,3.1124265
0,0.0298635597288428,3.1151047
0,0.0305580478249953,3.1179798
0,0.0312525383181593,3.1206186
0,0.0319470274761285,3.1232967
0,0.0326415153755527,3.1258566
0,0.0333360009328037,3.1284955
0,0.0340304830316077,3.1310163
0,0.034724968151101,3.1336551
0,0.0354194531722175,3.1361363
0,0.0361139229373847,3.1386175
0,0.0368084011949751,3.1410987
0,0.0375028807001495,3.1435013
0,0.0381973725504812,3.1457856
0,0.0388918549229177,3.1481485
0,0.0395863343843418,3.1507087
0,0.0402808132328966,3.1529536
0,0.0409753016575114,3.155159
0,0.0416697803090414,3.1575222
0,0.04236427010181,3.1597278
0,0.0430587576512061,3.1620121
0,0.0437532365982056,3.1641781
0,0.0444477145711602,3.1663051
0,0.0451421998219978,3.1685894
0,0.0458366804215071,3.1706767
0,0.0465312219919926,3.172843
0,0.0472257448149109,3.1749303
0,0.0479202202599505,3.1768997
0,0.0486146979703946,3.179105
0,0.049309201005444,3.1811137
0,0.0500036826009369,3.1830041
0,0.0506981619528877,3.1852098
