,SOC,kp,kn,e
0,0.9314994717644287,0.7667494798361245,1.0363772352384661,0.005519961454696628
1,0.8629953464377476,0.5419120050475932,0.9003625887157137,0.0052293782965760266
2,0.7944931095055265,0.3774641198915808,1.0372320220741582,0.00470282617467482
3,0.7259952441685253,0.26107749883143866,0.75693046264973,0.005299115975783617
4,0.6574936579383464,0.17108808452293098,0.6791330138808722,0.010261171552156252
5,0.5889939690565131,0.2740983274487125,0.09999999999999998,0.007041913064684056
6,0.5204949979593898,0.16616921322680314,2.2392954756295027,0.006440437694552866
7,0.45199289396126585,0.12721455409004906,1.493521523826046,0.004160440978344274
8,0.3834963941894187,0.09999999999999998,0.09999999999999998,0.002686614669895807
9,0.3149946104755533,0.09999999999999998,0.13324999999999998,0.006575783013983143
10,0.24649153462265672,0.16275000000000003,0.1,0.013269913238180124
11,0.17799060469877048,0.2154423430828877,0.10706755283494351,0.012958115303215787
12,0.10948791561199533,0.2577104611153971,0.17293685859454538,0.03484186358360584
