,SOC,kp,kn,e
0,0.9314994717644287,0.795767217320141,0.9857182095455513,0.0055585800037505646
1,0.8629953464377476,0.5764876909513654,0.8312947088130965,0.005433435458473674
2,0.7944931095055265,0.38503537635388424,1.0668311446781102,0.004753514560492495
3,0.7259952441685253,0.23299862001738403,0.7682907388585605,0.006475074248307988
4,0.6574936579383464,0.1602222048430711,1.0432988778222552,0.01016628642395692
5,0.5889939690565131,0.28210571007253515,0.09999999999999998,0.0070823423545299845
6,0.5204949979593898,0.16824164116834459,7.544131792878701,0.006433244687608733
7,0.45199289396126585,0.12937786690093192,1.2928407398445791,0.004191784485214647
8,0.3834963941894187,0.09999999999999998,0.09999999999999998,0.0027434663291793625
9,0.3149946104755533,0.09999999999999998,0.11374999999999998,0.0070041171374227015
10,0.24649153462265672,0.15630000000000002,0.1,0.013257417045138314
11,0.17799060469877048,0.2640588959032487,0.10000000000000002,0.01348757286536601
12,0.10948791561199533,0.17501494791061034,0.17501494791061034,0.10240600593940609
