,SOC,kp,kn,e
0,0.9314994717644287,0.795767217320141,0.9857182095455513,0.0055585800037505646
1,0.8629953464377476,0.7079317938409494,1.0201932264590965,0.002497377586136728
2,0.7944931095055265,0.5729815258771428,0.9558748086143085,0.0019209235828834257
3,0.7259952441685253,0.40657019591763727,0.6667078617668726,0.0019764231179234446
4,0.6574936579383464,0.2521006898306748,1.0103264888271055,0.005711530416498842
5,0.5889939690565131,0.5296870657792562,0.6390678544051233,0.0015201778420593562
6,0.5204949979593898,0.3499858688840168,0.5931710879187025,0.0019592556414949292
7,0.45199289396126585,0.23104333569436214,0.6973725443013944,0.0028878418714984866
8,0.3834963941894187,0.15319666955925096,0.09999999999999998,0.002401207965578786
9,0.3149946104755533,0.09999999999999998,0.19311905465706572,0.003276936173064989
10,0.24649153462265672,0.4549203892433291,0.1743974504866993,0.0014944269423817005
11,0.17799060469877048,0.3560616062671843,0.5873429136298388,0.0026617971429290337
12,0.10948791561199533,0.17501494791061034,0.17501494791061034,1174.968999296283
