,SOC,kp,kn,e
0,0.9314994717644287,0.8060474101315644,1.0957519189595974,1.3807568189328001
1,0.8629953464377476,0.6281432060012643,1.215741791682226,0.9051778263714021
2,0.7944931095055265,0.45666894122388507,1.182757710340383,0.5388559358259681
3,0.7259952441685253,0.30421492075133866,1.1900746602719285,0.5193421863914529
4,0.6574936579383464,0.176757884284427,2.3701931533005935,1.8923976774137534
5,0.5889939690565131,0.17425897584626565,2.068584040009931,2.0835050774832196
6,0.5204949979593898,0.22035315496018143,0.6936886642402316,1.0310923124411349
7,0.45199289396126585,0.14309999999999998,10.0,0.7949013553451296
8,0.3834963941894187,0.09999999999999998,0.11400000000000009,0.525915813586546
9,0.3149946104755533,0.09999999999999998,0.14275,1.855318371835116
10,0.24649153462265672,3.677130148174998,0.11546255423961901,1.010644429045795
11,0.17799060469877048,0.7554816880704264,0.5639335213308375,3.5543268056552804
12,0.10948791561199533,0.5138293722933234,0.8845592130394005,7.662956294293751
