,SOC,kp,kn,e
0,0.9314994717644287,1.228304564709218,0.9382143919498277,0.008756014927272451
1,0.8629953464377476,0.9203288290654585,0.7876029037292372,0.005901913903483768
2,0.7944931095055265,0.6429357297006358,0.9684961684503667,0.005179079196685854
3,0.7259952441685253,0.42071989718374436,0.9864430068091403,0.005139869966011296
4,0.6574936579383464,0.24143720990689896,1.0264732937667695,0.008509959232804752
5,0.5889939690565131,0.3018420001665224,1.1279798196680306,0.008333890215708337
6,0.5204949979593898,0.27967924842717956,0.7983221244775068,0.004894556003253134
7,0.45199289396126585,0.1784948679096816,10.0,0.004181444525034963
8,0.3834963941894187,0.11097472957726592,9.999999999999998,0.004797319860601568
9,0.3149946104755533,0.32473688237257453,0.09999999999999998,0.012932573452980932
10,0.24649153462265672,0.7960735846128661,0.16958126257049536,0.005912375145207904
11,0.17799060469877048,0.3008119417499228,0.642135942510021,0.005392534320224827
12,0.10948791561199533,0.39689949746223974,1.0782808715762062,0.021026164747463313
