# ESC Time [s],Cell Temperature [K]
28.6,350.3344153
28.7,350.4876916
28.8,350.6122295
28.9,350.7655081
29,350.9571082
29.1,351.0720693
29.2,351.2445127
29.3,351.3594761
29.4,351.4936012
29.5,351.6468888
29.6,351.7810169
29.7,351.934308
29.8,352.0588586
29.9,352.2025724
30,352.3367071
30.1,352.4708435
30.2,352.5954003
30.3,352.7487031
30.4,352.8924268
30.5,353.0265709
30.6,353.1607171
30.7,353.2852832
30.8,353.4098512
30.9,353.5535858
31,353.697323
31.1,353.7931492
31.2,353.9656395
31.3,354.0614692
31.4,354.2531322
31.5,354.3297989
31.6,354.4831347
31.7,354.5981389
31.8,354.7514808
31.9,354.9048263
32,355.0102534
32.1,355.1731897
32.2,355.3169606
32.3,355.4319797
32.4,355.5757568
32.5,355.7003664
32.6,355.8633215
32.7,355.9975234
32.8,356.1125561
32.9,356.2659368
33,356.3809753
33.1,356.5343637
33.2,356.649408
33.3,356.793217
33.4,356.9178547
33.5,357.0808472
33.6,357.2246686
33.7,357.3876714
33.8,357.5123243
33.9,357.6465696
34,357.7999975
34.1,357.9438409
34.2,358.0780989
34.3,358.2411319
34.4,358.3849895
34.5,358.50967
34.6,358.6631279
34.7,358.8069998
34.8,358.9316927
34.9,359.0947584
35,359.2290527
35.1,359.3921303
35.2,359.5456213
35.3,359.6895245
35.4,359.833433
35.5,359.9869414
35.6,360.1308612
35.7,360.3035722
35.8,360.4091217
35.9,360.5818457
36,360.7353851
36.1,360.8793341
36.2,361.0520807
36.3,361.186445
36.4,361.3496086
36.5,361.5031814
36.6,361.6279644
36.7,361.8199472
36.8,361.9543417
36.9,362.1175424
37,362.2711504
37.1,362.4151645
37.2,362.5879899
37.3,362.7320182
37.4,362.8664505
37.5,363.0296975
37.6,363.1641426
37.7,363.3466131
37.8,363.5098855
37.9,363.6539566
38,363.8076401
38.1,363.9709374
38.2,364.1054243
38.3,364.2399174
38.4,364.4032388
38.5,364.5569614
38.6,364.7203007
38.7,364.8740403
38.8,365.0277883
38.9,365.1911547
39,365.306478
39.1,365.4602497
39.2,365.6140301
39.3,365.7678191
39.4,365.9023916
39.5,366.0465839
39.6,366.2100112
39.7,366.3349917
39.8,366.4792074
39.9,366.6426614
40,366.7868939
40.1,366.9311344
40.2,367.1042337
40.3,367.2292571
40.4,367.3639045
40.5,367.517796
40.6,367.6716969
40.7,367.8063678
40.8,367.9506662
40.9,368.1045937
41,368.2489094
41.1,368.3739899
41.2,368.5279439
41.3,368.6722846
41.4,368.7877633
41.5,368.9224955
41.6,369.124608
41.7,369.2304832
41.8,369.3652404
41.9,369.5000052
42,369.6540316
42.1,369.788813
42.2,369.9139741
42.3,370.0680278
42.4,370.2028332
42.5,370.3472763
42.6,370.501359
42.7,370.6361899
42.8,370.7710288
42.9,370.9058757
43,371.0407307
43.1,371.1852271
43.2,371.3297329
43.3,371.4646135
43.4,371.6187727
43.5,371.7729427
